# coreburner log
# mode=single
# workload=AVX2
# util=60.0
# threads=1
# interval=1s
# temp_threshold=90.0
# start_time=1764167284
timestamp,elapsed_sec,cpu_temp,cpu0_util,cpu0_freq,cpu1_util,cpu1_freq,cpu2_util,cpu2_freq,cpu3_util,cpu3_freq,cpu4_util,cpu4_freq,cpu5_util,cpu5_freq,cpu6_util,cpu6_freq,cpu7_util,cpu7_freq,cpu8_util,cpu8_freq,cpu9_util,cpu9_freq,cpu10_util,cpu10_freq,cpu11_util,cpu11_freq,cpu12_util,cpu12_freq,cpu13_util,cpu13_freq,cpu14_util,cpu14_freq,cpu15_util,cpu15_freq,cpu16_util,cpu16_freq,cpu17_util,cpu17_freq,cpu18_util,cpu18_freq,cpu19_util,cpu19_freq,cpu20_util,cpu20_freq,cpu21_util,cpu21_freq,cpu22_util,cpu22_freq,cpu23_util,cpu23_freq,cpu24_util,cpu24_freq,cpu25_util,cpu25_freq,cpu26_util,cpu26_freq,cpu27_util,cpu27_freq,cpu28_util,cpu28_freq,cpu29_util,cpu29_freq,cpu30_util,cpu30_freq,cpu31_util,cpu31_freq,cpu32_util,cpu32_freq,cpu33_util,cpu33_freq,cpu34_util,cpu34_freq,cpu35_util,cpu35_freq,cpu36_util,cpu36_freq,cpu37_util,cpu37_freq,cpu38_util,cpu38_freq,cpu39_util,cpu39_freq,cpu40_util,cpu40_freq,cpu41_util,cpu41_freq,cpu42_util,cpu42_freq,cpu43_util,cpu43_freq,cpu44_util,cpu44_freq,cpu45_util,cpu45_freq,cpu46_util,cpu46_freq,cpu47_util,cpu47_freq,cpu48_util,cpu48_freq,cpu49_util,cpu49_freq,cpu50_util,cpu50_freq,cpu51_util,cpu51_freq,cpu52_util,cpu52_freq,cpu53_util,cpu53_freq,cpu54_util,cpu54_freq,cpu55_util,cpu55_freq,cpu56_util,cpu56_freq,cpu57_util,cpu57_freq,cpu58_util,cpu58_freq,cpu59_util,cpu59_freq,cpu60_util,cpu60_freq,cpu61_util,cpu61_freq,cpu62_util,cpu62_freq,cpu63_util,cpu63_freq,cpu_others_util,cpu_others_freq,thread0_ops_delta
1764167285,1,42.00,60.61,1800000,14.14,1800000,5.10,1800000,0.00,1800000,0.99,2602117,0.00,1800000,0.99,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,2257246,0.00,2599977,0.00,1800000,0.00,1800000,0.00,1800000,0.00,2600471,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,1.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,2593998,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,3.00,1800000,1.00,1800000,0.04,1806252,14348446
1764167286,2,42.00,61.39,1800176,15.15,1800000,6.93,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,3.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,4.00,1800000,0.00,2600489,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,1.98,1800000,0.00,1800000,0.00,1800000,0.99,1800000,1.98,1800000,2.00,1800000,1.98,1800000,0.00,1800000,0.02,1812505,14322932
1764167287,3,42.00,60.61,1800101,14.14,1800000,7.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,4.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.99,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,2.02,1800000,0.00,1800000,0.01,1806252,14349781
1764167288,4,42.00,61.00,1800217,14.14,1800000,5.10,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.99,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,2.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,2600574,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.02,1812508,14344428
1764167289,5,42.00,61.00,1800196,14.14,1800229,7.00,1800000,0.00,1800113,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,2495790,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,3.03,1800000,0.00,1800000,0.01,1806049,14362552
1764167290,6,43.00,61.62,1800122,14.14,1800078,6.00,1800000,0.00,1800000,0.00,2601346,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,3.96,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,2600328,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.99,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.02,1837477,14367070
1764167291,7,42.00,61.39,1800197,15.00,1800141,6.06,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.99,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,2600700,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,2.97,1800000,0.00,1800000,0.99,1800000,0.00,1800000,0.00,1800000,0.00,1800000,3.96,1800000,0.00,1800000,0.08,1800000,14346936
1764167292,8,41.00,61.62,1800185,15.84,1800216,6.06,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,3.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,2600971,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,1.00,1800000,0.00,1800000,0.99,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,14351880
1764167293,9,42.00,61.39,1800261,14.14,1800092,6.00,1800000,1.00,1800000,0.00,2601847,0.99,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,2062781,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,2599989,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,2.00,2600665,0.00,1800000,0.00,1800000,0.00,1800000,0.00,2631048,0.00,1800000,3.96,2624184,0.00,1800000,0.02,1812338,14352481
1764167294,10,41.00,60.61,1800230,14.14,1800158,0.00,1800000,5.94,1800000,0.00,1800000,0.98,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,3.96,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,2.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.00,1800000,0.04,1800000,14350379
